Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm]
Lattice,217,PLA,dense elastomer,10.376158004632993,10.0,2.5,0.7694001159771027,0.5,1.154100173965654
Lattice,218,PLA,foamed elastomer,10.376158004632993,10.0,2.5,0.7694001159771027,0.5,1.154100173965654
Lattice,219,PLA,none,10.376158004632993,10.0,2.5,0.7694001159771027,0.5,1.154100173965654
Lattice,220,PLA,dense elastomer,47.09764570132036,10.0,2.5,0.5939315686327264,0.5,0.8908973529490897
Lattice,221,PLA,foamed elastomer,47.09764570132036,10.0,2.5,0.5939315686327264,0.5,0.8908973529490897
Lattice,222,PLA,none,47.09764570132036,10.0,2.5,0.5939315686327264,0.5,0.8908973529490897
Lattice,223,PLA,dense elastomer,45.492127951107626,10.0,2.5,0.6942555228883329,0.5,1.0413832843324995
Lattice,224,PLA,foamed elastomer,45.492127951107626,10.0,2.5,0.6942555228883329,0.5,1.0413832843324995
Lattice,225,PLA,none,45.492127951107626,10.0,2.5,0.6942555228883329,0.5,1.0413832843324995
Lattice,226,PLA,dense elastomer,46.50048142993634,10.0,2.5,1.2206405393249267,0.5,1.83096080898739
Lattice,227,PLA,foamed elastomer,46.50048142993634,10.0,2.5,1.2206405393249267,0.5,1.83096080898739
Lattice,228,PLA,none,46.50048142993634,10.0,2.5,1.2206405393249267,0.5,1.83096080898739
Lattice,229,PLA,dense elastomer,22.049725785747633,10.0,2.5,1.028178074718117,0.5,1.5422671120771756
Lattice,230,PLA,foamed elastomer,22.049725785747633,10.0,2.5,1.028178074718117,0.5,1.5422671120771756
Lattice,231,PLA,none,22.049725785747633,10.0,2.5,1.028178074718117,0.5,1.5422671120771756
Lattice,232,PLA,dense elastomer,24.41517838493305,10.0,2.5,0.269509355491235,0.5,0.4042640332368525
Lattice,233,PLA,foamed elastomer,24.41517838493305,10.0,2.5,0.269509355491235,0.5,0.4042640332368525
Lattice,234,PLA,none,24.41517838493305,10.0,2.5,0.269509355491235,0.5,0.4042640332368525
Lattice,235,PLA,dense elastomer,19.17099414298543,10.0,2.5,0.44414930413911247,0.5,0.6662239562086687
Lattice,236,PLA,foamed elastomer,19.17099414298543,10.0,2.5,0.44414930413911247,0.5,0.6662239562086687
Lattice,237,PLA,none,19.17099414298543,10.0,2.5,0.44414930413911247,0.5,0.6662239562086687
Lattice,238,PLA,dense elastomer,12.692556737497316,10.0,2.5,1.1336305352169727,0.5,1.700445802825459
Lattice,239,PLA,foamed elastomer,12.692556737497316,10.0,2.5,1.1336305352169727,0.5,1.700445802825459
Lattice,240,PLA,none,12.692556737497316,10.0,2.5,1.1336305352169727,0.5,1.700445802825459
Lattice,241,PLA,dense elastomer,35.975095245713405,10.0,2.5,1.1094536486937976,0.5,1.6641804730406964
Lattice,242,PLA,foamed elastomer,35.975095245713405,10.0,2.5,1.1094536486937976,0.5,1.6641804730406964
Lattice,243,PLA,none,35.975095245713405,10.0,2.5,1.1094536486937976,0.5,1.6641804730406964
Lattice,244,PLA,dense elastomer,14.999480525710116,10.0,2.5,0.6453401803684624,0.5,0.9680102705526936
Lattice,245,PLA,foamed elastomer,14.999480525710116,10.0,2.5,0.6453401803684624,0.5,0.9680102705526936
Lattice,246,PLA,none,14.999480525710116,10.0,2.5,0.6453401803684624,0.5,0.9680102705526936
Lattice,247,PLA,dense elastomer,23.341261728919857,10.0,2.5,0.6535747896301927,0.5,0.980362184445289
Lattice,248,PLA,foamed elastomer,23.341261728919857,10.0,2.5,0.6535747896301927,0.5,0.980362184445289
Lattice,249,PLA,none,23.341261728919857,10.0,2.5,0.6535747896301927,0.5,0.980362184445289
Lattice,250,PLA,dense elastomer,35.59698834700629,10.0,2.5,0.6967554866540324,0.5,1.0451332299810487
Lattice,251,PLA,foamed elastomer,35.59698834700629,10.0,2.5,0.6967554866540324,0.5,1.0451332299810487
Lattice,252,PLA,none,35.59698834700629,10.0,2.5,0.6967554866540324,0.5,1.0451332299810487
Lattice,253,PLA,dense elastomer,11.348522817371538,10.0,2.5,1.2147782029809568,0.5,1.8221673044714353
Lattice,254,PLA,foamed elastomer,11.348522817371538,10.0,2.5,1.2147782029809568,0.5,1.8221673044714353
Lattice,255,PLA,none,11.348522817371538,10.0,2.5,1.2147782029809568,0.5,1.8221673044714353
Lattice,256,PLA,dense elastomer,10.117366693722218,10.0,2.5,0.5069977479379939,0.5,0.7604966219069909
Lattice,257,PLA,foamed elastomer,10.117366693722218,10.0,2.5,0.5069977479379939,0.5,0.7604966219069909
Lattice,258,PLA,none,10.117366693722218,10.0,2.5,0.5069977479379939,0.5,0.7604966219069909
Lattice,259,PLA,dense elastomer,47.34713843490353,10.0,2.5,0.45242338716506847,0.5,0.6786350807476027
Lattice,260,PLA,foamed elastomer,47.34713843490353,10.0,2.5,0.45242338716506847,0.5,0.6786350807476027
Lattice,261,PLA,none,47.34713843490353,10.0,2.5,0.45242338716506847,0.5,0.6786350807476027
Lattice,262,PLA,dense elastomer,26.525749104265866,10.0,2.5,0.3837099204735933,0.5,0.5755648807103899
Lattice,263,PLA,foamed elastomer,26.525749104265866,10.0,2.5,0.3837099204735933,0.5,0.5755648807103899
Lattice,264,PLA,none,26.525749104265866,10.0,2.5,0.3837099204735933,0.5,0.5755648807103899
Lattice,265,PLA,dense elastomer,22.658413690032287,10.0,2.5,1.1935847812086309,0.5,1.7903771718129464
Lattice,266,PLA,foamed elastomer,22.658413690032287,10.0,2.5,1.1935847812086309,0.5,1.7903771718129464
Lattice,267,PLA,none,22.658413690032287,10.0,2.5,1.1935847812086309,0.5,1.7903771718129464
Lattice,268,PLA,dense elastomer,14.166774269625474,10.0,2.5,0.6394338175075884,0.5,0.9591507262613826
Lattice,269,PLA,foamed elastomer,14.166774269625474,10.0,2.5,0.6394338175075884,0.5,0.9591507262613826
Lattice,270,PLA,none,14.166774269625474,10.0,2.5,0.6394338175075884,0.5,0.9591507262613826
Lattice,271,PLA,dense elastomer,15.91207013322173,10.0,2.5,0.3503160155402749,0.5,0.5254740233104124
Lattice,272,PLA,foamed elastomer,15.91207013322173,10.0,2.5,0.3503160155402749,0.5,0.5254740233104124
Lattice,273,PLA,none,15.91207013322173,10.0,2.5,0.3503160155402749,0.5,0.5254740233104124
Lattice,274,PLA,dense elastomer,16.931571791169524,10.0,2.5,0.8596816043122855,0.5,1.289522406468428
Lattice,275,PLA,foamed elastomer,16.931571791169524,10.0,2.5,0.8596816043122855,0.5,1.289522406468428
Lattice,276,PLA,none,16.931571791169524,10.0,2.5,0.8596816043122855,0.5,1.289522406468428
Lattice,277,PLA,dense elastomer,12.44845503072954,10.0,2.5,0.2726778061979372,0.5,0.4090167092969058
Lattice,278,PLA,foamed elastomer,12.44845503072954,10.0,2.5,0.2726778061979372,0.5,0.4090167092969058
Lattice,279,PLA,none,12.44845503072954,10.0,2.5,0.2726778061979372,0.5,0.4090167092969058
Lattice,280,PLA,dense elastomer,25.69795864079277,10.0,2.5,0.6846667554720121,0.5,1.027000133208018
Lattice,281,PLA,foamed elastomer,25.69795864079277,10.0,2.5,0.6846667554720121,0.5,1.027000133208018
Lattice,282,PLA,none,25.69795864079277,10.0,2.5,0.6846667554720121,0.5,1.027000133208018
Lattice,283,PLA,dense elastomer,28.93738408492603,10.0,2.5,0.8271262249208511,0.5,1.2406893373812766
Lattice,284,PLA,foamed elastomer,28.93738408492603,10.0,2.5,0.8271262249208511,0.5,1.2406893373812766
Lattice,285,PLA,none,28.93738408492603,10.0,2.5,0.8271262249208511,0.5,1.2406893373812766
Lattice,286,PLA,dense elastomer,45.35243646706007,10.0,2.5,0.2945498205991778,0.5,0.44182473089876667
Lattice,287,PLA,foamed elastomer,45.35243646706007,10.0,2.5,0.2945498205991778,0.5,0.44182473089876667
Lattice,288,PLA,none,45.35243646706007,10.0,2.5,0.2945498205991778,0.5,0.44182473089876667
Lattice,289,PLA,dense elastomer,35.017330202406896,10.0,2.5,1.0529100743471989,0.5,1.5793651115207983
Lattice,290,PLA,foamed elastomer,35.017330202406896,10.0,2.5,1.0529100743471989,0.5,1.5793651115207983
Lattice,291,PLA,none,35.017330202406896,10.0,2.5,1.0529100743471989,0.5,1.5793651115207983
Lattice,292,PLA,dense elastomer,27.075680128058124,10.0,2.5,0.30465145459619997,0.5,0.4569771818942999
Lattice,293,PLA,foamed elastomer,27.075680128058124,10.0,2.5,0.30465145459619997,0.5,0.4569771818942999
Lattice,294,PLA,none,27.075680128058124,10.0,2.5,0.30465145459619997,0.5,0.4569771818942999
Lattice,295,PLA,dense elastomer,17.932275176176283,10.0,2.5,0.7878042467633245,0.5,1.1817063701449868
Lattice,296,PLA,foamed elastomer,17.932275176176283,10.0,2.5,0.7878042467633245,0.5,1.1817063701449868
Lattice,297,PLA,none,17.932275176176283,10.0,2.5,0.7878042467633245,0.5,1.1817063701449868
Lattice,298,PLA,dense elastomer,33.46796849540988,10.0,2.5,0.6436455151830465,0.5,0.9654682727745697
Lattice,299,PLA,foamed elastomer,33.46796849540988,10.0,2.5,0.6436455151830465,0.5,0.9654682727745697
Lattice,300,PLA,none,33.46796849540988,10.0,2.5,0.6436455151830465,0.5,0.9654682727745697
Lattice,301,PLA,dense elastomer,11.648027269713289,10.0,2.5,0.5571414055909251,0.5,0.8357121083863877
Lattice,302,PLA,foamed elastomer,11.648027269713289,10.0,2.5,0.5571414055909251,0.5,0.8357121083863877
Lattice,303,PLA,none,11.648027269713289,10.0,2.5,0.5571414055909251,0.5,0.8357121083863877
Lattice,304,PLA,dense elastomer,48.42129841468181,10.0,2.5,1.0203152680631769,0.5,1.5304729020947652
Lattice,305,PLA,foamed elastomer,48.42129841468181,10.0,2.5,1.0203152680631769,0.5,1.5304729020947652
Lattice,306,PLA,none,48.42129841468181,10.0,2.5,1.0203152680631769,0.5,1.5304729020947652
Lattice,307,PLA,dense elastomer,18.47631186024664,10.0,2.5,0.5528577466978277,0.5,0.8292866200467416
Lattice,308,PLA,foamed elastomer,18.47631186024664,10.0,2.5,0.5528577466978277,0.5,0.8292866200467416
Lattice,309,PLA,none,18.47631186024664,10.0,2.5,0.5528577466978277,0.5,0.8292866200467416
Lattice,310,PLA,dense elastomer,13.624622442536387,10.0,2.5,0.264167378743589,0.5,0.39625106811538346
Lattice,311,PLA,foamed elastomer,13.624622442536387,10.0,2.5,0.264167378743589,0.5,0.39625106811538346
Lattice,312,PLA,none,13.624622442536387,10.0,2.5,0.264167378743589,0.5,0.39625106811538346
Lattice,313,PLA,dense elastomer,26.842322297239846,10.0,2.5,0.7288144538122276,0.5,1.0932216807183415
Lattice,314,PLA,foamed elastomer,26.842322297239846,10.0,2.5,0.7288144538122276,0.5,1.0932216807183415
Lattice,315,PLA,none,26.842322297239846,10.0,2.5,0.7288144538122276,0.5,1.0932216807183415
Lattice,316,PLA,dense elastomer,15.12535950360516,10.0,2.5,1.0936362287351225,0.5,1.6404543431026837
Lattice,317,PLA,foamed elastomer,15.12535950360516,10.0,2.5,1.0936362287351225,0.5,1.6404543431026837
Lattice,318,PLA,none,15.12535950360516,10.0,2.5,1.0936362287351225,0.5,1.6404543431026837
Lattice,319,PLA,dense elastomer,42.706590927800086,10.0,2.5,1.085580402533004,0.5,1.628370603799506
Lattice,320,PLA,foamed elastomer,42.706590927800086,10.0,2.5,1.085580402533004,0.5,1.628370603799506
Lattice,321,PLA,none,42.706590927800086,10.0,2.5,1.085580402533004,0.5,1.628370603799506
Lattice,322,PLA,dense elastomer,34.990618788280266,10.0,2.5,0.30661133255152695,0.5,0.4599169988272904
Lattice,323,PLA,foamed elastomer,34.990618788280266,10.0,2.5,0.30661133255152695,0.5,0.4599169988272904
Lattice,324,PLA,none,34.990618788280266,10.0,2.5,0.30661133255152695,0.5,0.4599169988272904
Lattice,325,PLA,dense elastomer,33.93380322847257,10.0,2.5,0.911262332626622,0.5,1.366893498939933
Lattice,326,PLA,foamed elastomer,33.93380322847257,10.0,2.5,0.911262332626622,0.5,1.366893498939933
Lattice,327,PLA,none,33.93380322847257,10.0,2.5,0.911262332626622,0.5,1.366893498939933
Lattice,328,PLA,dense elastomer,31.770103225144474,10.0,2.5,0.9434915091922067,0.5,1.4152372637883102
Lattice,329,PLA,foamed elastomer,31.770103225144474,10.0,2.5,0.9434915091922067,0.5,1.4152372637883102
Lattice,330,PLA,none,31.770103225144474,10.0,2.5,0.9434915091922067,0.5,1.4152372637883102
Lattice,331,PLA,dense elastomer,21.11688605049966,10.0,2.5,1.1450644613864538,0.5,1.7175966920796806
Lattice,332,PLA,foamed elastomer,21.11688605049966,10.0,2.5,1.1450644613864538,0.5,1.7175966920796806
Lattice,333,PLA,none,21.11688605049966,10.0,2.5,1.1450644613864538,0.5,1.7175966920796806
Lattice,334,PLA,dense elastomer,24.821213236498778,10.0,2.5,0.3861150880713377,0.5,0.5791726321070065
Lattice,335,PLA,foamed elastomer,24.821213236498778,10.0,2.5,0.3861150880713377,0.5,0.5791726321070065
Lattice,336,PLA,none,24.821213236498778,10.0,2.5,0.3861150880713377,0.5,0.5791726321070065
Lattice,337,PLA,dense elastomer,13.43554512866341,10.0,2.5,1.1502299938128935,0.5,1.72534499071934
Lattice,338,PLA,foamed elastomer,13.43554512866341,10.0,2.5,1.1502299938128935,0.5,1.72534499071934
Lattice,339,PLA,none,13.43554512866341,10.0,2.5,1.1502299938128935,0.5,1.72534499071934
Lattice,340,PLA,dense elastomer,13.009753182945701,10.0,2.5,0.9828105682751703,0.5,1.4742158524127555
Lattice,341,PLA,foamed elastomer,13.009753182945701,10.0,2.5,0.9828105682751703,0.5,1.4742158524127555
Lattice,342,PLA,none,13.009753182945701,10.0,2.5,0.9828105682751703,0.5,1.4742158524127555
Lattice,343,PLA,dense elastomer,17.00332994787095,10.0,2.5,0.3302512838827465,0.5,0.49537692582411974
Lattice,344,PLA,foamed elastomer,17.00332994787095,10.0,2.5,0.3302512838827465,0.5,0.49537692582411974
Lattice,345,PLA,none,17.00332994787095,10.0,2.5,0.3302512838827465,0.5,0.49537692582411974
Lattice,346,PLA,dense elastomer,12.300473046742749,10.0,2.5,0.34692012894451735,0.5,0.520380193416776
Lattice,347,PLA,foamed elastomer,12.300473046742749,10.0,2.5,0.34692012894451735,0.5,0.520380193416776
Lattice,348,PLA,none,12.300473046742749,10.0,2.5,0.34692012894451735,0.5,0.520380193416776
Lattice,349,PLA,dense elastomer,32.86666963754206,10.0,2.5,1.2293246883533637,0.5,1.8439870325300456
Lattice,350,PLA,foamed elastomer,32.86666963754206,10.0,2.5,1.2293246883533637,0.5,1.8439870325300456
Lattice,351,PLA,none,32.86666963754206,10.0,2.5,1.2293246883533637,0.5,1.8439870325300456
Lattice,352,PLA,dense elastomer,46.96388645526548,10.0,2.5,0.8925108538185061,0.5,1.3387662807277592
Lattice,353,PLA,foamed elastomer,46.96388645526548,10.0,2.5,0.8925108538185061,0.5,1.3387662807277592
Lattice,354,PLA,none,46.96388645526548,10.0,2.5,0.8925108538185061,0.5,1.3387662807277592
Lattice,355,PLA,dense elastomer,38.578952741623596,10.0,2.5,0.3131658401297277,0.5,0.46974876019459155
Lattice,356,PLA,foamed elastomer,38.578952741623596,10.0,2.5,0.3131658401297277,0.5,0.46974876019459155
Lattice,357,PLA,none,38.578952741623596,10.0,2.5,0.3131658401297277,0.5,0.46974876019459155
Lattice,358,PLA,dense elastomer,27.315110791179002,10.0,2.5,0.6562535436913466,0.5,0.9843803155370199
Lattice,359,PLA,foamed elastomer,27.315110791179002,10.0,2.5,0.6562535436913466,0.5,0.9843803155370199
Lattice,360,PLA,none,27.315110791179002,10.0,2.5,0.6562535436913466,0.5,0.9843803155370199
Lattice,361,PLA,dense elastomer,41.26563638365582,10.0,2.5,0.5132042631480431,0.5,0.7698063947220647
Lattice,362,PLA,foamed elastomer,41.26563638365582,10.0,2.5,0.5132042631480431,0.5,0.7698063947220647
Lattice,363,PLA,none,41.26563638365582,10.0,2.5,0.5132042631480431,0.5,0.7698063947220647
Lattice,364,PLA,dense elastomer,43.13061799668799,10.0,2.5,0.7206166817937778,0.5,1.0809250226906668
Lattice,365,PLA,foamed elastomer,43.13061799668799,10.0,2.5,0.7206166817937778,0.5,1.0809250226906668
Lattice,366,PLA,none,43.13061799668799,10.0,2.5,0.7206166817937778,0.5,1.0809250226906668
Lattice,367,PLA,dense elastomer,24.796374092364896,10.0,2.5,0.8039571569279569,0.5,1.2059357353919353
Lattice,368,PLA,foamed elastomer,24.796374092364896,10.0,2.5,0.8039571569279569,0.5,1.2059357353919353
Lattice,369,PLA,none,24.796374092364896,10.0,2.5,0.8039571569279569,0.5,1.2059357353919353
Lattice,370,PLA,dense elastomer,17.437139456228746,10.0,2.5,0.730133603728475,0.5,1.0952004055927125
Lattice,371,PLA,foamed elastomer,17.437139456228746,10.0,2.5,0.730133603728475,0.5,1.0952004055927125
Lattice,372,PLA,none,17.437139456228746,10.0,2.5,0.730133603728475,0.5,1.0952004055927125
Lattice,373,PLA,dense elastomer,31.11464568412596,10.0,2.5,0.28738120452458943,0.5,0.43107180678688417
Lattice,374,PLA,foamed elastomer,31.11464568412596,10.0,2.5,0.28738120452458943,0.5,0.43107180678688417
Lattice,375,PLA,none,31.11464568412596,10.0,2.5,0.28738120452458943,0.5,0.43107180678688417
Lattice,376,PLA,dense elastomer,30.16156024797976,10.0,2.5,0.2564832922815649,0.5,0.38472493842234734
Lattice,377,PLA,foamed elastomer,30.16156024797976,10.0,2.5,0.2564832922815649,0.5,0.38472493842234734
Lattice,378,PLA,none,30.16156024797976,10.0,2.5,0.2564832922815649,0.5,0.38472493842234734
Lattice,379,PLA,dense elastomer,23.816849955172344,10.0,2.5,1.0471052855151135,0.5,1.5706579282726703
Lattice,380,PLA,foamed elastomer,23.816849955172344,10.0,2.5,1.0471052855151135,0.5,1.5706579282726703
Lattice,381,PLA,none,23.816849955172344,10.0,2.5,1.0471052855151135,0.5,1.5706579282726703
Lattice,382,PLA,dense elastomer,44.114715115134175,10.0,2.5,1.0372172327432403,0.5,1.5558258491148604
Lattice,383,PLA,foamed elastomer,44.114715115134175,10.0,2.5,1.0372172327432403,0.5,1.5558258491148604
Lattice,384,PLA,none,44.114715115134175,10.0,2.5,1.0372172327432403,0.5,1.5558258491148604
Lattice,385,PLA,dense elastomer,34.60056647023166,10.0,2.5,0.46778579272705423,0.5,0.7016786890905813
Lattice,386,PLA,foamed elastomer,34.60056647023166,10.0,2.5,0.46778579272705423,0.5,0.7016786890905813
Lattice,387,PLA,none,34.60056647023166,10.0,2.5,0.46778579272705423,0.5,0.7016786890905813
Lattice,388,PLA,dense elastomer,40.101655906585755,10.0,2.5,0.6754841332488795,0.5,1.0132261998733192
Lattice,389,PLA,foamed elastomer,40.101655906585755,10.0,2.5,0.6754841332488795,0.5,1.0132261998733192
Lattice,390,PLA,none,40.101655906585755,10.0,2.5,0.6754841332488795,0.5,1.0132261998733192
Lattice,391,PLA,dense elastomer,25.978004902201086,10.0,2.5,0.7429548831249828,0.5,1.114432324687474
Lattice,392,PLA,foamed elastomer,25.978004902201086,10.0,2.5,0.7429548831249828,0.5,1.114432324687474
Lattice,393,PLA,none,25.978004902201086,10.0,2.5,0.7429548831249828,0.5,1.114432324687474
Lattice,394,PLA,dense elastomer,25.250680602404785,10.0,2.5,0.5497799588040733,0.5,0.8246699382061099
Lattice,395,PLA,foamed elastomer,25.250680602404785,10.0,2.5,0.5497799588040733,0.5,0.8246699382061099
Lattice,396,PLA,none,25.250680602404785,10.0,2.5,0.5497799588040733,0.5,0.8246699382061099
Lattice,397,PLA,dense elastomer,16.392074030527887,10.0,2.5,0.8375436616589351,0.5,1.2563154924884028
Lattice,398,PLA,foamed elastomer,16.392074030527887,10.0,2.5,0.8375436616589351,0.5,1.2563154924884028
Lattice,399,PLA,none,16.392074030527887,10.0,2.5,0.8375436616589351,0.5,1.2563154924884028
Lattice,400,PLA,dense elastomer,43.69574047776466,10.0,2.5,0.9227931342097297,0.5,1.3841897013145945
Lattice,401,PLA,foamed elastomer,43.69574047776466,10.0,2.5,0.9227931342097297,0.5,1.3841897013145945
Lattice,402,PLA,none,43.69574047776466,10.0,2.5,0.9227931342097297,0.5,1.3841897013145945
Lattice,403,PLA,dense elastomer,11.124668850113325,10.0,2.5,0.7531924657546738,0.5,1.1297886986320107
Lattice,404,PLA,foamed elastomer,11.124668850113325,10.0,2.5,0.7531924657546738,0.5,1.1297886986320107
Lattice,405,PLA,none,11.124668850113325,10.0,2.5,0.7531924657546738,0.5,1.1297886986320107
Lattice,406,PLA,dense elastomer,26.225573857691447,10.0,2.5,0.7818611932782549,0.5,1.1727917899173823
Lattice,407,PLA,foamed elastomer,26.225573857691447,10.0,2.5,0.7818611932782549,0.5,1.1727917899173823
Lattice,408,PLA,none,26.225573857691447,10.0,2.5,0.7818611932782549,0.5,1.1727917899173823
Lattice,409,PLA,dense elastomer,14.5900322315204,10.0,2.5,1.181122507073106,0.5,1.771683760609659
Lattice,410,PLA,foamed elastomer,14.5900322315204,10.0,2.5,1.181122507073106,0.5,1.771683760609659
Lattice,411,PLA,none,14.5900322315204,10.0,2.5,1.181122507073106,0.5,1.771683760609659
Lattice,412,PLA,dense elastomer,10.465599281892148,10.0,2.5,0.9856468245624073,0.5,1.478470236843611
Lattice,413,PLA,foamed elastomer,10.465599281892148,10.0,2.5,0.9856468245624073,0.5,1.478470236843611
Lattice,414,PLA,none,10.465599281892148,10.0,2.5,0.9856468245624073,0.5,1.478470236843611
Lattice,415,PLA,dense elastomer,22.97603847675014,10.0,2.5,0.3732597980014682,0.5,0.5598896970022023
Lattice,416,PLA,foamed elastomer,22.97603847675014,10.0,2.5,0.3732597980014682,0.5,0.5598896970022023
Lattice,417,PLA,none,22.97603847675014,10.0,2.5,0.3732597980014682,0.5,0.5598896970022023
Lattice,418,PLA,dense elastomer,29.888525246127664,10.0,2.5,0.4275074060509273,0.5,0.6412611090763909
Lattice,419,PLA,foamed elastomer,29.888525246127664,10.0,2.5,0.4275074060509273,0.5,0.6412611090763909
Lattice,420,PLA,none,29.888525246127664,10.0,2.5,0.4275074060509273,0.5,0.6412611090763909
Lattice,421,PLA,dense elastomer,17.2025995379474,10.0,2.5,0.6632852580418167,0.5,0.9949278870627251
