Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Upper strut length [mm],Lower strut length [mm]
Re-entrant,274,PLA,dense elastomer,29.93346161,10,2.5,0.284708583,0.05,0.284708583,4.300711199,12.21382017
Re-entrant,275,PLA,foamed elastomer,29.93346161,10,2.5,0.284708583,0.05,0.284708583,4.300711199,12.21382017
Re-entrant,276,PLA,none,29.93346161,10,2.5,0.284708583,0.05,0.284708583,4.300711199,12.21382017
Re-entrant,277,PLA,dense elastomer,34.5760005,10,2.5,0.811633686,0.05,0.811633686,12.80009544,5.214453482
Re-entrant,278,PLA,foamed elastomer,34.5760005,10,2.5,0.811633686,0.05,0.811633686,12.80009544,5.214453482
Re-entrant,279,PLA,none,34.5760005,10,2.5,0.811633686,0.05,0.811633686,12.80009544,5.214453482
Re-entrant,280,PLA,dense elastomer,13.8972917,10,2.5,1.186808514,0.05,1.186808514,3.336752171,3.086871951
Re-entrant,281,PLA,foamed elastomer,13.8972917,10,2.5,1.186808514,0.05,1.186808514,3.336752171,3.086871951
Re-entrant,282,PLA,none,13.8972917,10,2.5,1.186808514,0.05,1.186808514,3.336752171,3.086871951
Re-entrant,283,PLA,dense elastomer,37.08647447,10,2.5,0.336110377,0.05,0.336110377,13.03240057,15.59477082
Re-entrant,284,PLA,foamed elastomer,37.08647447,10,2.5,0.336110377,0.05,0.336110377,13.03240057,15.59477082
Re-entrant,285,PLA,none,37.08647447,10,2.5,0.336110377,0.05,0.336110377,13.03240057,15.59477082
Re-entrant,286,PLA,dense elastomer,35.20185174,10,2.5,1.024610725,0.05,1.024610725,6.032444291,5.971911417
Re-entrant,287,PLA,foamed elastomer,35.20185174,10,2.5,1.024610725,0.05,1.024610725,6.032444291,5.971911417
Re-entrant,288,PLA,none,35.20185174,10,2.5,1.024610725,0.05,1.024610725,6.032444291,5.971911417
Re-entrant,289,PLA,dense elastomer,16.85345068,10,2.5,1.018167306,0.05,1.018167306,6.386768043,6.305954565
Re-entrant,290,PLA,foamed elastomer,16.85345068,10,2.5,1.018167306,0.05,1.018167306,6.386768043,6.305954565
Re-entrant,291,PLA,none,16.85345068,10,2.5,1.018167306,0.05,1.018167306,6.386768043,6.305954565
Re-entrant,292,PLA,dense elastomer,41.98943419,10,2.5,1.061993487,0.05,1.061993487,10.93327091,8.119568486
Re-entrant,293,PLA,foamed elastomer,41.98943419,10,2.5,1.061993487,0.05,1.061993487,10.93327091,8.119568486
Re-entrant,294,PLA,none,41.98943419,10,2.5,1.061993487,0.05,1.061993487,10.93327091,8.119568486
Re-entrant,295,PLA,dense elastomer,21.89774174,10,2.5,0.766357236,0.05,0.766357236,4.970669832,4.083970831
Re-entrant,296,PLA,foamed elastomer,21.89774174,10,2.5,0.766357236,0.05,0.766357236,4.970669832,4.083970831
Re-entrant,297,PLA,none,21.89774174,10,2.5,0.766357236,0.05,0.766357236,4.970669832,4.083970831
Re-entrant,298,PLA,dense elastomer,34.30650149,10,2.5,0.351101175,0.05,0.351101175,11.9132779,7.812671718
Re-entrant,299,PLA,foamed elastomer,34.30650149,10,2.5,0.351101175,0.05,0.351101175,11.9132779,7.812671718
Re-entrant,300,PLA,none,34.30650149,10,2.5,0.351101175,0.05,0.351101175,11.9132779,7.812671718
Re-entrant,301,PLA,dense elastomer,34.17090033,10,2.5,1.049600114,0.05,1.049600114,6.730525894,6.146328557
Re-entrant,302,PLA,foamed elastomer,34.17090033,10,2.5,1.049600114,0.05,1.049600114,6.730525894,6.146328557
Re-entrant,303,PLA,none,34.17090033,10,2.5,1.049600114,0.05,1.049600114,6.730525894,6.146328557
Re-entrant,304,PLA,dense elastomer,45.89786687,10,2.5,0.410597312,0.05,0.410597312,7.439124866,16.56878323
Re-entrant,305,PLA,foamed elastomer,45.89786687,10,2.5,0.410597312,0.05,0.410597312,7.439124866,16.56878323
Re-entrant,306,PLA,none,45.89786687,10,2.5,0.410597312,0.05,0.410597312,7.439124866,16.56878323
Re-entrant,307,PLA,dense elastomer,44.56550972,10,2.5,0.491854682,0.05,0.491854682,17.60085033,6.403966815
Re-entrant,308,PLA,foamed elastomer,44.56550972,10,2.5,0.491854682,0.05,0.491854682,17.60085033,6.403966815
Re-entrant,309,PLA,none,44.56550972,10,2.5,0.491854682,0.05,0.491854682,17.60085033,6.403966815
Re-entrant,310,PLA,dense elastomer,46.75423731,10,2.5,0.757349053,0.05,0.757349053,6.152036118,15.34514537
Re-entrant,311,PLA,foamed elastomer,46.75423731,10,2.5,0.757349053,0.05,0.757349053,6.152036118,15.34514537
Re-entrant,312,PLA,none,46.75423731,10,2.5,0.757349053,0.05,0.757349053,6.152036118,15.34514537
Re-entrant,313,PLA,dense elastomer,27.49726595,10,2.5,0.912594892,0.05,0.912594892,7.670532989,6.038647923
Re-entrant,314,PLA,foamed elastomer,27.49726595,10,2.5,0.912594892,0.05,0.912594892,7.670532989,6.038647923
Re-entrant,315,PLA,none,27.49726595,10,2.5,0.912594892,0.05,0.912594892,7.670532989,6.038647923
Re-entrant,316,PLA,dense elastomer,20.09676146,10,2.5,0.805321534,0.05,0.805321534,7.718030318,4.054897358
Re-entrant,317,PLA,foamed elastomer,20.09676146,10,2.5,0.805321534,0.05,0.805321534,7.718030318,4.054897358
Re-entrant,318,PLA,none,20.09676146,10,2.5,0.805321534,0.05,0.805321534,7.718030318,4.054897358
Re-entrant,319,PLA,dense elastomer,44.33706094,10,2.5,0.753978191,0.05,0.753978191,11.33817153,13.2105511
Re-entrant,320,PLA,foamed elastomer,44.33706094,10,2.5,0.753978191,0.05,0.753978191,11.33817153,13.2105511
Re-entrant,321,PLA,none,44.33706094,10,2.5,0.753978191,0.05,0.753978191,11.33817153,13.2105511
Re-entrant,322,PLA,dense elastomer,26.12594233,10,2.5,0.6894484,0.05,0.6894484,10.12801321,8.841981204
Re-entrant,323,PLA,foamed elastomer,26.12594233,10,2.5,0.6894484,0.05,0.6894484,10.12801321,8.841981204
Re-entrant,324,PLA,none,26.12594233,10,2.5,0.6894484,0.05,0.6894484,10.12801321,8.841981204
Re-entrant,325,PLA,dense elastomer,48.13547692,10,2.5,0.446141511,0.05,0.446141511,9.946810172,10.16713687
Re-entrant,326,PLA,foamed elastomer,48.13547692,10,2.5,0.446141511,0.05,0.446141511,9.946810172,10.16713687
Re-entrant,327,PLA,none,48.13547692,10,2.5,0.446141511,0.05,0.446141511,9.946810172,10.16713687
Re-entrant,328,PLA,dense elastomer,39.54794399,10,2.5,0.539960304,0.05,0.539960304,5.110945361,5.479971904
Re-entrant,329,PLA,foamed elastomer,39.54794399,10,2.5,0.539960304,0.05,0.539960304,5.110945361,5.479971904
Re-entrant,330,PLA,none,39.54794399,10,2.5,0.539960304,0.05,0.539960304,5.110945361,5.479971904
Re-entrant,331,PLA,dense elastomer,27.80910619,10,2.5,0.837667578,0.05,0.837667578,10.75979758,5.830218093
Re-entrant,332,PLA,foamed elastomer,27.80910619,10,2.5,0.837667578,0.05,0.837667578,10.75979758,5.830218093
Re-entrant,333,PLA,none,27.80910619,10,2.5,0.837667578,0.05,0.837667578,10.75979758,5.830218093
Re-entrant,334,PLA,dense elastomer,31.21990105,10,2.5,0.722281496,0.05,0.722281496,12.55128956,5.734921666
Re-entrant,335,PLA,foamed elastomer,31.21990105,10,2.5,0.722281496,0.05,0.722281496,12.55128956,5.734921666
Re-entrant,336,PLA,none,31.21990105,10,2.5,0.722281496,0.05,0.722281496,12.55128956,5.734921666
Re-entrant,337,PLA,dense elastomer,32.31095031,10,2.5,0.997623857,0.05,0.997623857,11.42975197,7.272793813
Re-entrant,338,PLA,foamed elastomer,32.31095031,10,2.5,0.997623857,0.05,0.997623857,11.42975197,7.272793813
Re-entrant,339,PLA,none,32.31095031,10,2.5,0.997623857,0.05,0.997623857,11.42975197,7.272793813
Re-entrant,340,PLA,dense elastomer,28.52618543,10,2.5,0.68343593,0.05,0.68343593,8.796716332,9.482459407
Re-entrant,341,PLA,foamed elastomer,28.52618543,10,2.5,0.68343593,0.05,0.68343593,8.796716332,9.482459407
Re-entrant,342,PLA,none,28.52618543,10,2.5,0.68343593,0.05,0.68343593,8.796716332,9.482459407
Re-entrant,343,PLA,dense elastomer,11.96774962,10,2.5,1.157525997,0.05,1.157525997,4.340713282,3.773931283
Re-entrant,344,PLA,foamed elastomer,11.96774962,10,2.5,1.157525997,0.05,1.157525997,4.340713282,3.773931283
Re-entrant,345,PLA,none,11.96774962,10,2.5,1.157525997,0.05,1.157525997,4.340713282,3.773931283
Re-entrant,346,PLA,dense elastomer,14.4285421,10,2.5,1.213080198,0.05,1.213080198,4.036791346,5.915567057
Re-entrant,347,PLA,foamed elastomer,14.4285421,10,2.5,1.213080198,0.05,1.213080198,4.036791346,5.915567057
Re-entrant,348,PLA,none,14.4285421,10,2.5,1.213080198,0.05,1.213080198,4.036791346,5.915567057
Re-entrant,349,PLA,dense elastomer,36.41953594,10,2.5,0.655027587,0.05,0.655027587,9.75336046,7.175351041
Re-entrant,350,PLA,foamed elastomer,36.41953594,10,2.5,0.655027587,0.05,0.655027587,9.75336046,7.175351041
Re-entrant,351,PLA,none,36.41953594,10,2.5,0.655027587,0.05,0.655027587,9.75336046,7.175351041
Re-entrant,352,PLA,dense elastomer,45.36928996,10,2.5,1.116239373,0.05,1.116239373,16.70124943,16.47927489
Re-entrant,353,PLA,foamed elastomer,45.36928996,10,2.5,1.116239373,0.05,1.116239373,16.70124943,16.47927489
Re-entrant,354,PLA,none,45.36928996,10,2.5,1.116239373,0.05,1.116239373,16.70124943,16.47927489
Re-entrant,355,PLA,dense elastomer,12.4235238,10,2.5,0.253637052,0.05,0.253637052,4.442080831,3.429709541
Re-entrant,356,PLA,foamed elastomer,12.4235238,10,2.5,0.253637052,0.05,0.253637052,4.442080831,3.429709541
Re-entrant,357,PLA,none,12.4235238,10,2.5,0.253637052,0.05,0.253637052,4.442080831,3.429709541
Re-entrant,358,PLA,dense elastomer,18.96582921,10,2.5,0.921139514,0.05,0.921139514,7.528355529,7.995940186
Re-entrant,359,PLA,foamed elastomer,18.96582921,10,2.5,0.921139514,0.05,0.921139514,7.528355529,7.995940186
Re-entrant,360,PLA,none,18.96582921,10,2.5,0.921139514,0.05,0.921139514,7.528355529,7.995940186
Re-entrant,361,PLA,dense elastomer,23.47572866,10,2.5,0.285406618,0.05,0.285406618,9.843745811,6.218786132
Re-entrant,362,PLA,foamed elastomer,23.47572866,10,2.5,0.285406618,0.05,0.285406618,9.843745811,6.218786132
Re-entrant,363,PLA,none,23.47572866,10,2.5,0.285406618,0.05,0.285406618,9.843745811,6.218786132
Re-entrant,364,PLA,dense elastomer,30.2465059,10,2.5,0.679330717,0.05,0.679330717,8.827571576,4.492572989
Re-entrant,365,PLA,foamed elastomer,30.2465059,10,2.5,0.679330717,0.05,0.679330717,8.827571576,4.492572989
Re-entrant,366,PLA,none,30.2465059,10,2.5,0.679330717,0.05,0.679330717,8.827571576,4.492572989
Re-entrant,367,PLA,dense elastomer,26.97948803,10,2.5,1.13731899,0.05,1.13731899,4.157282153,7.797570614
Re-entrant,368,PLA,foamed elastomer,26.97948803,10,2.5,1.13731899,0.05,1.13731899,4.157282153,7.797570614
Re-entrant,369,PLA,none,26.97948803,10,2.5,1.13731899,0.05,1.13731899,4.157282153,7.797570614
Re-entrant,370,PLA,dense elastomer,48.95607322,10,2.5,0.958628461,0.05,0.958628461,14.804249,14.70840149
Re-entrant,371,PLA,foamed elastomer,48.95607322,10,2.5,0.958628461,0.05,0.958628461,14.804249,14.70840149
Re-entrant,372,PLA,none,48.95607322,10,2.5,0.958628461,0.05,0.958628461,14.804249,14.70840149
Re-entrant,373,PLA,dense elastomer,48.4643866,10,2.5,0.386295726,0.05,0.386295726,20.30386028,10.31039671
Re-entrant,374,PLA,foamed elastomer,48.4643866,10,2.5,0.386295726,0.05,0.386295726,20.30386028,10.31039671
Re-entrant,375,PLA,none,48.4643866,10,2.5,0.386295726,0.05,0.386295726,20.30386028,10.31039671
Re-entrant,376,PLA,dense elastomer,33.06933421,10,2.5,1.125121385,0.05,1.125121385,4.823992617,12.17368264
Re-entrant,377,PLA,foamed elastomer,33.06933421,10,2.5,1.125121385,0.05,1.125121385,4.823992617,12.17368264
Re-entrant,378,PLA,none,33.06933421,10,2.5,1.125121385,0.05,1.125121385,4.823992617,12.17368264
Re-entrant,379,PLA,dense elastomer,24.28387462,10,2.5,0.918832382,0.05,0.918832382,4.670494159,4.14216842
Re-entrant,380,PLA,foamed elastomer,24.28387462,10,2.5,0.918832382,0.05,0.918832382,4.670494159,4.14216842
Re-entrant,381,PLA,none,24.28387462,10,2.5,0.918832382,0.05,0.918832382,4.670494159,4.14216842
Re-entrant,382,PLA,dense elastomer,23.0996762,10,2.5,0.990605577,0.05,0.990605577,7.540708917,6.193563338
Re-entrant,383,PLA,foamed elastomer,23.0996762,10,2.5,0.990605577,0.05,0.990605577,7.540708917,6.193563338
Re-entrant,384,PLA,none,23.0996762,10,2.5,0.990605577,0.05,0.990605577,7.540708917,6.193563338
Re-entrant,385,PLA,dense elastomer,36.3715224,10,2.5,0.80321137,0.05,0.80321137,9.449855633,14.3521893
Re-entrant,386,PLA,foamed elastomer,36.3715224,10,2.5,0.80321137,0.05,0.80321137,9.449855633,14.3521893
Re-entrant,387,PLA,none,36.3715224,10,2.5,0.80321137,0.05,0.80321137,9.449855633,14.3521893
Re-entrant,388,PLA,dense elastomer,44.65402945,10,2.5,0.403106116,0.05,0.403106116,10.34766074,13.71361392
Re-entrant,389,PLA,foamed elastomer,44.65402945,10,2.5,0.403106116,0.05,0.403106116,10.34766074,13.71361392
Re-entrant,390,PLA,none,44.65402945,10,2.5,0.403106116,0.05,0.403106116,10.34766074,13.71361392
Re-entrant,391,PLA,dense elastomer,12.14280988,10,2.5,0.90670271,0.05,0.90670271,2.294528213,4.058406772
Re-entrant,392,PLA,foamed elastomer,12.14280988,10,2.5,0.90670271,0.05,0.90670271,2.294528213,4.058406772
Re-entrant,393,PLA,none,12.14280988,10,2.5,0.90670271,0.05,0.90670271,2.294528213,4.058406772
Re-entrant,394,PLA,dense elastomer,24.79146725,10,2.5,1.028175106,0.05,1.028175106,9.222949976,9.713507417
Re-entrant,395,PLA,foamed elastomer,24.79146725,10,2.5,1.028175106,0.05,1.028175106,9.222949976,9.713507417
Re-entrant,396,PLA,none,24.79146725,10,2.5,1.028175106,0.05,1.028175106,9.222949976,9.713507417
Re-entrant,397,PLA,dense elastomer,21.75469817,10,2.5,1.230064098,0.05,1.230064098,3.414008276,3.798645542
Re-entrant,398,PLA,foamed elastomer,21.75469817,10,2.5,1.230064098,0.05,1.230064098,3.414008276,3.798645542
Re-entrant,399,PLA,none,21.75469817,10,2.5,1.230064098,0.05,1.230064098,3.414008276,3.798645542
Re-entrant,400,PLA,dense elastomer,27.37766255,10,2.5,1.147574735,0.05,1.147574735,8.382766792,6.270071149
Re-entrant,401,PLA,foamed elastomer,27.37766255,10,2.5,1.147574735,0.05,1.147574735,8.382766792,6.270071149
Re-entrant,402,PLA,none,27.37766255,10,2.5,1.147574735,0.05,1.147574735,8.382766792,6.270071149
Re-entrant,403,PLA,dense elastomer,40.73657192,10,2.5,0.744422715,0.05,0.744422715,5.12775442,9.488934552
Re-entrant,404,PLA,foamed elastomer,40.73657192,10,2.5,0.744422715,0.05,0.744422715,5.12775442,9.488934552
Re-entrant,405,PLA,none,40.73657192,10,2.5,0.744422715,0.05,0.744422715,5.12775442,9.488934552
Re-entrant,406,PLA,dense elastomer,30.69468353,10,2.5,1.21782911,0.05,1.21782911,6.434024955,5.160877497
Re-entrant,407,PLA,foamed elastomer,30.69468353,10,2.5,1.21782911,0.05,1.21782911,6.434024955,5.160877497
Re-entrant,408,PLA,none,30.69468353,10,2.5,1.21782911,0.05,1.21782911,6.434024955,5.160877497
Re-entrant,409,PLA,dense elastomer,25.25430766,10,2.5,1.175660876,0.05,1.175660876,7.616262949,9.078892749
Re-entrant,410,PLA,foamed elastomer,25.25430766,10,2.5,1.175660876,0.05,1.175660876,7.616262949,9.078892749
Re-entrant,411,PLA,none,25.25430766,10,2.5,1.175660876,0.05,1.175660876,7.616262949,9.078892749
Re-entrant,412,PLA,dense elastomer,41.02391379,10,2.5,0.638003646,0.05,0.638003646,7.232788161,8.829529426
Re-entrant,413,PLA,foamed elastomer,41.02391379,10,2.5,0.638003646,0.05,0.638003646,7.232788161,8.829529426
Re-entrant,414,PLA,none,41.02391379,10,2.5,0.638003646,0.05,0.638003646,7.232788161,8.829529426
Re-entrant,415,PLA,dense elastomer,37.95667055,10,2.5,0.496866144,0.05,0.496866144,10.13749315,5.203049172
Re-entrant,416,PLA,foamed elastomer,37.95667055,10,2.5,0.496866144,0.05,0.496866144,10.13749315,5.203049172
Re-entrant,417,PLA,none,37.95667055,10,2.5,0.496866144,0.05,0.496866144,10.13749315,5.203049172
Re-entrant,418,PLA,dense elastomer,22.30685196,10,2.5,0.894723217,0.05,0.894723217,8.745368837,7.094834276
Re-entrant,419,PLA,foamed elastomer,22.30685196,10,2.5,0.894723217,0.05,0.894723217,8.745368837,7.094834276
Re-entrant,420,PLA,none,22.30685196,10,2.5,0.894723217,0.05,0.894723217,8.745368837,7.094834276
Re-entrant,421,PLA,dense elastomer,42.9940524,10,2.5,0.73192831,0.05,0.73192831,7.063906187,15.9300774
Re-entrant,422,PLA,foamed elastomer,42.9940524,10,2.5,0.73192831,0.05,0.73192831,7.063906187,15.9300774
Re-entrant,423,PLA,none,42.9940524,10,2.5,0.73192831,0.05,0.73192831,7.063906187,15.9300774
Re-entrant,424,PLA,dense elastomer,15.11455203,10,2.5,1.031068274,0.05,1.031068274,5.507932961,2.772978871
Re-entrant,425,PLA,foamed elastomer,15.11455203,10,2.5,1.031068274,0.05,1.031068274,5.507932961,2.772978871
Re-entrant,426,PLA,none,15.11455203,10,2.5,1.031068274,0.05,1.031068274,5.507932961,2.772978871
Re-entrant,427,PLA,dense elastomer,49.78849289,10,2.5,0.774139942,0.05,0.774139942,6.937049581,19.14710039
Re-entrant,428,PLA,foamed elastomer,49.78849289,10,2.5,0.774139942,0.05,0.774139942,6.937049581,19.14710039
Re-entrant,429,PLA,none,49.78849289,10,2.5,0.774139942,0.05,0.774139942,6.937049581,19.14710039
Re-entrant,430,PLA,dense elastomer,42.3392385,10,2.5,0.61792307,0.05,0.61792307,16.14701929,12.5372109
Re-entrant,431,PLA,foamed elastomer,42.3392385,10,2.5,0.61792307,0.05,0.61792307,16.14701929,12.5372109
Re-entrant,432,PLA,none,42.3392385,10,2.5,0.61792307,0.05,0.61792307,16.14701929,12.5372109
Re-entrant,433,PLA,dense elastomer,28.86160611,10,2.5,0.298341412,0.05,0.298341412,9.927632113,10.71907981
Re-entrant,434,PLA,foamed elastomer,28.86160611,10,2.5,0.298341412,0.05,0.298341412,9.927632113,10.71907981
Re-entrant,435,PLA,none,28.86160611,10,2.5,0.298341412,0.05,0.298341412,9.927632113,10.71907981
Re-entrant,436,PLA,dense elastomer,18.29964575,10,2.5,0.78138487,0.05,0.78138487,6.312172852,2.863792985
Re-entrant,437,PLA,foamed elastomer,18.29964575,10,2.5,0.78138487,0.05,0.78138487,6.312172852,2.863792985
Re-entrant,438,PLA,none,18.29964575,10,2.5,0.78138487,0.05,0.78138487,6.312172852,2.863792985
Re-entrant,439,PLA,dense elastomer,28.21180518,10,2.5,0.694367043,0.05,0.694367043,10.17951212,6.62654597
Re-entrant,440,PLA,foamed elastomer,28.21180518,10,2.5,0.694367043,0.05,0.694367043,10.17951212,6.62654597
Re-entrant,441,PLA,none,28.21180518,10,2.5,0.694367043,0.05,0.694367043,10.17951212,6.62654597
Re-entrant,442,PLA,dense elastomer,12.2243021,10,2.5,0.819665368,0.05,0.819665368,3.756629082,5.170652564
Re-entrant,443,PLA,foamed elastomer,12.2243021,10,2.5,0.819665368,0.05,0.819665368,3.756629082,5.170652564
Re-entrant,444,PLA,none,12.2243021,10,2.5,0.819665368,0.05,0.819665368,3.756629082,5.170652564
Re-entrant,445,PLA,dense elastomer,33.48553713,10,2.5,1.057423476,0.05,1.057423476,5.835472741,7.593749534
Re-entrant,446,PLA,foamed elastomer,33.48553713,10,2.5,1.057423476,0.05,1.057423476,5.835472741,7.593749534
Re-entrant,447,PLA,none,33.48553713,10,2.5,1.057423476,0.05,1.057423476,5.835472741,7.593749534
Re-entrant,448,PLA,dense elastomer,14.00112967,10,2.5,1.143989549,0.05,1.143989549,2.289928671,4.894103491
Re-entrant,449,PLA,foamed elastomer,14.00112967,10,2.5,1.143989549,0.05,1.143989549,2.289928671,4.894103491
Re-entrant,450,PLA,none,14.00112967,10,2.5,1.143989549,0.05,1.143989549,2.289928671,4.894103491
Re-entrant,451,PLA,dense elastomer,16.7078179,10,2.5,0.797064639,0.05,0.797064639,6.019697302,6.622529119
Re-entrant,452,PLA,foamed elastomer,16.7078179,10,2.5,0.797064639,0.05,0.797064639,6.019697302,6.622529119
Re-entrant,453,PLA,none,16.7078179,10,2.5,0.797064639,0.05,0.797064639,6.019697302,6.622529119
Re-entrant,454,PLA,dense elastomer,15.61938274,10,2.5,0.66419713,0.05,0.66419713,4.942838173,2.597755391
Re-entrant,455,PLA,foamed elastomer,15.61938274,10,2.5,0.66419713,0.05,0.66419713,4.942838173,2.597755391
Re-entrant,456,PLA,none,15.61938274,10,2.5,0.66419713,0.05,0.66419713,4.942838173,2.597755391
Re-entrant,457,PLA,dense elastomer,37.63628099,10,2.5,0.54951547,0.05,0.54951547,14.87159513,4.89976383
Re-entrant,458,PLA,foamed elastomer,37.63628099,10,2.5,0.54951547,0.05,0.54951547,14.87159513,4.89976383
Re-entrant,459,PLA,none,37.63628099,10,2.5,0.54951547,0.05,0.54951547,14.87159513,4.89976383
Re-entrant,460,PLA,dense elastomer,47.15546999,10,2.5,0.525433424,0.05,0.525433424,9.4523148,17.14727816
Re-entrant,461,PLA,foamed elastomer,47.15546999,10,2.5,0.525433424,0.05,0.525433424,9.4523148,17.14727816
Re-entrant,462,PLA,none,47.15546999,10,2.5,0.525433424,0.05,0.525433424,9.4523148,17.14727816
Re-entrant,463,PLA,dense elastomer,15.38356891,10,2.5,1.124665676,0.05,1.124665676,3.339027042,2.713927079
Re-entrant,464,PLA,foamed elastomer,15.38356891,10,2.5,1.124665676,0.05,1.124665676,3.339027042,2.713927079
